Start Date,Event Category,Description,Event Type,Event Country,Event Province,Event Type V2,Headline,E Latitude,E Longitude
2/8/2022 12:00:00 AM,Government & Political,"In Berlin, Germany, French President Emmanuel Jean-Michel Frédéric Macron and Polish President Andrzej Sebastian Duda met German chancellor Olaf Scholz to discuss Russian military assertiveness against Ukraine. They stressed the importance of maintaining Ukraine’s territorial sovereignty and ‘far-reaching’ consequences for Russia in the event of an invasion, the First News reported. Source link : https://www.thefirstnews.com/article/polish-french-german-leaders-meet-to-discuss-ukraine-27782",State Action,Germany,Berlin,Statement,French and Polish president meets German chancellor to discuss Russian military assertiveness against Ukraine in Germany's Berlin,52.5200066,13.404954
2/10/2022 12:00:00 AM,Government & Political,"In Moscow, Russia, Russia’s Communist Party leader Gennady Zyuganov stated that the parliament was scheduled to discuss a proposal to grant independent status to Ukraine’s separatist regions held by Donetsk People's Republic (DPR) and Luhansk People's Republic (LPR) militias on 14-18 February 2022, Vedomosti reported. Source link : https://www.vedomosti.ru/politics/news/2022/02/10/908718-srok-rassmotreniya-obrascheniya",State Action,Russian Federation,Moscow,Statement,Russia considers granting independent status to separatist regions in Ukraine,55.7558,37.6173
2/10/2022 12:00:00 AM,Government & Political,"In Moscow, Russia, Minister of Foreign Affairs Sergei Lavrov stated that Russia was considering to advise its non-essential staff members working in the Russian embassy and consulates in Ukraine to evacuate and return to Russia, Vedomosti reported. Source link : https://www.vedomosti.ru/politics/news/2022/02/10/908708-vremennii-otezd-diplomatov",Non State Action,Russian Federation,Moscow,Statement,Russia's Minister of Foreign Minister announces to consider evacuation of staff from Ukraine,55.755826,37.6173
2/10/2022 12:00:00 AM,Government & Political,"In Moscow, Russian Federation, Russia’s Minister of Foreign Affairs Lavrov unveiled that Russia was considering advising its non-essential staff members, working in the Russian embassy and consulates in Ukraine, to evacuate, Vedomosti reported. Source link : https://www.vedomosti.ru/politics/news/2022/02/10/908708-vremennii-otezd-diplomatov",State Action,Russian Federation,Moscow,Statement,Russia’s Minister of Foreign Affairs considers advising embassy staff members to evacuate from Ukraine,55.755826,37.6173
2/10/2022 12:00:00 AM,Government & Political,"In London, England province, United Kingdom, Minister of Foreign Affairs Elizabeth Mary Truss met with his Russian counterpart Sergey Lavrov, calling for a diplomatic resolution of the Russia-Ukraine crisis and warning of ‘massive’ consequences in the event of an invasion. The ministers also discussed the Iran nuclear programme and the situation in Afghanistan, United Kingdom Government reported. Source link : https://www.gov.uk/government/news/foreign-secretarys-meeting-with-russian-foreign-minister-lavrov-10-february-2022",State Action,United Kingdom,London,Statement,United Kingdom's Minister of Foreign Affairs meet Russian counterpart calling for a resolution of Russia-Ukraine crisis,51.50722,-0.12759
2/11/2022 12:00:00 AM,Government & Political,"In Moscow, Russia, Deputy Chief of Staff Dmitry Kozak announced that negotiations with  Normandy Format countries (Russia, Germany, Ukraine, France) were fruitless, as the sides could not overcome differences in their interpretations of the Minsk II agreement on Ukraine’s Donbas conflict, TASS reported. Source link : https://tass.ru/politika/13675437",State Action,Russian Federation,Moscow,Statement,Russian official states that negotiations with Normandy Format countries were a failure,55.755826,37.6173
2/13/2022 12:00:00 AM,Government & Political,"In Kyiv, Ukraine, the Japanese embassy urged its staff members and Japanese nationals to immediately leave the country as there was possibility of a possible Russian invasion following its military buildup near the border, Kyodo News reported. Source link : https://english.kyodonews.net/news/2022/02/e937922ddf0a-most-of-japans-embassy-staff-in-ukraine-to-leave-as-tensions-grow.html",,Ukraine,Kyiv,Statement,Japanese embassy issues advisory to its citizens in Ukraine,50.45,30.529
2/12/2022 12:00:00 AM,Government & Political,"In Kyiv, Ukraine, Prime Minister Denys Shmyhal announced that the government has allocated USD592 million towards guaranteed continuation of flights after some airline companies cancelled or diverted flights in light of the increased threat of a Russian military invasion in Ukraine, the Guardian reported. Source link : https://www.theguardian.com/world/2022/feb/13/airlines-divert-flights-from-ukraine-airspace-as-invasion-fears-grow",State Action,Ukraine,Kyiv,Statement,Ukraine allots funds to ensure continuation of flights amid tensions with Russia,50.45,30.523
2/12/2022 12:00:00 AM,Government & Political,"In Amsterdam, Noord-Holland, Netherlands, the government announced to relocate its diplomatic mission from eastern Ukraine and Ukraine’s capital of Kyiv to the western city of Lviv, near the Ukraine-Poland state border, amid the growing threat of a Russian military invasion, Meduza reported. Source link : https://meduza.io/news/2022/02/12/zapadnye-strany-nachali-perevozit-vo-lvov-svoih-diplomatov-ostayuschihsya-v-ukraine",State Action,Netherlands,Noord-Holland,Statement,Netherlands relocates its embassy in Ukraine,52.3675734,4.9041389
2/11/2022 12:00:00 AM,Government & Political,"In London, England, United Kingdom, Prime minister Boris Johnson announced that the European Commission, the European Council, North Atlantic Treaty Organisation (NATO), the United States, Canada, Germany, France, Italy, Poland, and Romania agreed to double their diplomatic efforts in support of Ukraine's territorial integrity and confirmed their readiness to impose economic sanctions, should Russia invade Ukraine, Gov.uk reported. Source link : https://www.gov.uk/government/news/pm-virtual-meeting-on-ukraine-11-february-2022",State Action,United Kingdom,London,Statement,International community announces to double their diplomatic efforts in support of Ukraine,51.50334,-0.12759
